7zip 26.00-1
a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
acl 2.3.2-1
ada 3.4.4-1
adwaita-cursors 49.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.16.1-1
alsa-card-profiles 1:1.6.2-1
alsa-lib 1.2.15.3-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
aom 3.13.2-1
appstream 1.1.2-1
aquamarine 0.10.0-3
archlinux-keyring 20260323-1
at-spi2-core 2.58.4-1
atkmm 2.28.4-1
attica 6.24.0-2
attr 2.5.2-1
audacious 4.5.1-1
audacious-plugins 4.5.1-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc3-1
awww 0.12.0-1
base 3-3
base-devel 1-2
bash 5.3.9-1
binutils 2.46-1
bison 3.8.2-8
blas 3.12.1-2
blosc 1.21.6-2
blueman 2.4.6-2
bluez 5.86-4
bluez-libs 5.86-4
bluez-utils 5.86-4
breeze 6.6.3-1
breeze-cursors 6.6.3-1
breeze-icons 6.24.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.6-2
btrfs-progs 6.19.1-1
bubblewrap 0.11.1-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.122-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-3
cairomm-1.16 1.18.0-2
cargo-make 0.37.24-2
cbindgen 0.29.2-2
cblas 3.12.1-2
chromaprint 1.6.0-3
clang 22.1.2-1
cliphist 1:0.7.0-2
compiler-rt 22.1.2-1
composefs 1.0.8-1
confuse 3.3-4
coreutils 9.10-1
cronie 1.7.2-2
crypto++ 8.9.0-3
cryptsetup 2.8.4-1
curl 8.19.0-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbeaver 26.0.1-1
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.39-1
diffutils 3.12-2
direnv 2.37.1-1
dkms 3.3.0-1
double-conversion 3.4.0-1
duktape 2.7.0-7
dunst 1.13.2-1
e2fsprogs 1.47.4-1
editorconfig-core-c 0.12.10-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
electron39 39.5.2-1
ell 0.83-1
enchant 2.8.15-2
exo 4.20.0-2
expat 2.7.5-1
eza 0.23.4-3
faac 1.40-1
